query,k,graph_type,algorithm,success,is_expected_path,visited_count,path_length,time,path
눈이 오면 사고 위험이 증가하는가?,6,top_k,bfs,False,False,4,0,7.999944500625134e-06,
눈이 오면 사고 위험이 증가하는가?,8,top_k,bfs,False,False,5,0,1.0899966582655907e-05,
눈이 오면 사고 위험이 증가하는가?,10,top_k,bfs,False,False,5,0,1.009996049106121e-05,
눈이 오면 사고 위험이 증가하는가?,12,top_k,bfs,False,False,5,0,1.3399985618889332e-05,
눈이 오면 사고 위험이 증가하는가?,14,top_k,bfs,False,False,5,0,1.379998866468668e-05,
눈이 오면 사고 위험이 증가하는가?,16,top_k,bfs,True,True,7,4,1.650000922381878e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,18,top_k,bfs,True,True,7,4,2.7999980375170708e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,20,top_k,bfs,True,True,7,4,1.4399993233382702e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,22,top_k,bfs,True,True,7,4,1.6099889762699604e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,24,top_k,bfs,True,True,7,4,1.1900090612471104e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
눈이 오면 사고 위험이 증가하는가?,26,top_k,bfs,True,True,7,4,1.0599964298307896e-05,눈이 온다>도로가 얼어붙는다>차가 미끄러진다>사고 위험이 증가한다
수면이 부족하면 실수가 늘어나는가?,FULL,full,bfs,True,True,6,4,1.5700003132224083e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
수면이 부족하면 실수가 늘어나는가?,FULL,full,dfs,True,True,4,4,1.009996049106121e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
수면이 부족하면 실수가 늘어나는가?,2,top_k,bfs,False,False,3,0,9.499955922365189e-06,
수면이 부족하면 실수가 늘어나는가?,3,top_k,bfs,False,False,3,0,9.600073099136353e-06,
수면이 부족하면 실수가 늘어나는가?,4,top_k,bfs,False,False,3,0,8.09994526207447e-06,
수면이 부족하면 실수가 늘어나는가?,5,top_k,bfs,False,False,3,0,8.300063200294971e-06,
수면이 부족하면 실수가 늘어나는가?,6,top_k,bfs,False,False,3,0,1.1199968867003918e-05,
수면이 부족하면 실수가 늘어나는가?,8,top_k,bfs,False,False,3,0,1.0899966582655907e-05,
수면이 부족하면 실수가 늘어나는가?,10,top_k,bfs,False,False,3,0,1.2599979527294636e-05,
수면이 부족하면 실수가 늘어나는가?,12,top_k,bfs,False,False,3,0,9.400071576237679e-06,
수면이 부족하면 실수가 늘어나는가?,14,top_k,bfs,False,False,3,0,1.3299984857439995e-05,
수면이 부족하면 실수가 늘어나는가?,16,top_k,bfs,False,False,3,0,1.7700018361210823e-05,
수면이 부족하면 실수가 늘어나는가?,18,top_k,bfs,False,False,3,0,9.500072337687016e-06,
수면이 부족하면 실수가 늘어나는가?,20,top_k,bfs,True,True,6,4,1.179997343569994e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
수면이 부족하면 실수가 늘어나는가?,22,top_k,bfs,True,True,6,4,1.1800089851021767e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
수면이 부족하면 실수가 늘어나는가?,24,top_k,bfs,True,True,6,4,1.279998105019331e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
수면이 부족하면 실수가 늘어나는가?,26,top_k,bfs,True,True,6,4,1.2900098226964474e-05,수면이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다
