query,k,graph_type,retriever_type,algorithm,success,is_expected_path,visited_count,path_length,time,path,selected_edge_count,expected_edge_count,preserved_edge_count,missing_edge_count,preserved_edge_rate,missing_edges
비가 오면 왜 체육 수업이 취소되는가,6,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.112000022540087e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,7,top_k,naive_top_k,bfs,False,False,6,0,5.203000000619795e-06,,7,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,7,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.715000014561156e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,8,top_k,naive_top_k,bfs,False,False,6,0,8.022000002938512e-06,,8,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,8,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.443999981480374e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,9,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,9,top_k,naive_top_k,bfs,False,False,6,0,6.096999982219131e-06,,9,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,9,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.405999985441667e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,16,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,10,top_k,naive_top_k,bfs,False,False,6,0,5.618999978196371e-06,,10,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,10,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.960999996863393e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,23,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,15,top_k,naive_top_k,bfs,False,False,6,0,7.044999989602729e-06,,15,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,15,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.740999992871366e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,30,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,20,top_k,naive_top_k,bfs,False,False,6,0,5.409000010558884e-06,,20,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,20,top_k_expansion,top_k_expansion,bfs,True,True,8,4,8.83399999906942e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,37,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,30,top_k,naive_top_k,bfs,False,False,6,0,6.116000008660194e-06,,30,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,30,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.601999987447925e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,51,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,40,top_k,naive_top_k,bfs,False,False,6,0,5.616999999347172e-06,,40,3,2,1,0.6666666666666666,땅이 젖는다->운동장이 미끄럽다
비가 오면 왜 체육 수업이 취소되는가,40,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.031999987499148e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,72,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,60,top_k,naive_top_k,bfs,True,True,8,4,7.667999994964703e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,60,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,60,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.8950000127188105e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,78,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,70,top_k,naive_top_k,bfs,True,True,8,4,1.299300001278425e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,70,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,70,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.774000013365367e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,82,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,75,top_k,naive_top_k,bfs,True,True,8,4,6.51900001003014e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,75,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,75,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.893000005447902e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,84,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,78,top_k,naive_top_k,bfs,True,True,8,4,1.1542000009967524e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,78,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,78,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.294000002071698e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,86,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,80,top_k,naive_top_k,bfs,True,True,8,4,6.957000010743286e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,80,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,80,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.762000000686385e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,86,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,82,top_k,naive_top_k,bfs,True,True,8,4,6.169000016598147e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,82,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,82,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.667000008064861e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,87,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,84,top_k,naive_top_k,bfs,True,True,8,4,6.249999984220267e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,84,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,84,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.510999980946508e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,88,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,85,top_k,naive_top_k,bfs,True,True,8,4,6.42899999547808e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,85,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,85,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.759999988365962e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,88,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,86,top_k,naive_top_k,bfs,True,True,8,4,7.114999988289128e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,86,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,86,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.876000014699457e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,88,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,87,top_k,naive_top_k,bfs,True,True,8,4,6.101999986185547e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,87,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,87,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.08900000745416e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,89,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,88,top_k,naive_top_k,bfs,True,True,8,4,6.624000008059738e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,88,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,88,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.571999989546384e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,89,top_k,naive_top_k,bfs,True,True,8,4,6.803000019317551e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,89,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,89,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.350999996129758e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,90,top_k,naive_top_k,bfs,True,True,8,4,9.701999999833788e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,90,top_k_expansion,top_k_expansion,bfs,True,True,8,4,2.424299998438073e-05,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,95,top_k,naive_top_k,bfs,True,True,8,4,6.53099999681217e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,95,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.479000009245283e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,100,top_k,naive_top_k,bfs,True,True,8,4,6.396999992830388e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
비가 오면 왜 체육 수업이 취소되는가,100,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.248000005371068e-06,비가 온다>땅이 젖는다>운동장이 미끄럽다>체육 수업이 취소된다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,FULL,full,full,bfs,True,True,8,4,8.062999995672726e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,2,top_k,naive_top_k,bfs,False,False,3,0,5.41399998610359e-06,,2,3,0,3,0.0,도로 공사가 시작된다->차선이 줄어든다|차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,2,top_k_expansion,top_k_expansion,bfs,False,False,6,0,8.625999981859422e-06,,7,3,1,2,0.3333333333333333,차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,3,top_k,naive_top_k,bfs,False,False,4,0,4.240999999183259e-06,,3,3,0,3,0.0,도로 공사가 시작된다->차선이 줄어든다|차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,3,top_k_expansion,top_k_expansion,bfs,False,False,6,0,5.100000009861105e-06,,7,3,1,2,0.3333333333333333,차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,4,top_k,naive_top_k,bfs,False,False,5,0,4.81000000718268e-06,,4,3,0,3,0.0,도로 공사가 시작된다->차선이 줄어든다|차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,4,top_k_expansion,top_k_expansion,bfs,False,False,6,0,7.434999986344337e-06,,7,3,1,2,0.3333333333333333,차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,5,top_k,naive_top_k,bfs,False,False,6,0,6.76999999882355e-06,,5,3,1,2,0.3333333333333333,차량 속도가 느려진다->출근 시간이 길어진다|차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,5,top_k_expansion,top_k_expansion,bfs,False,False,7,0,5.451000021139407e-06,,8,3,2,1,0.6666666666666666,차량 속도가 느려진다->출근 시간이 길어진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,6,top_k,naive_top_k,bfs,False,False,6,0,5.474999994703467e-06,,6,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,6,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.170999992922589e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,9,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,7,top_k,naive_top_k,bfs,False,False,6,0,6.466000002092187e-06,,7,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,7,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.136999983003989e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,9,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,8,top_k,naive_top_k,bfs,False,False,6,0,8.543999996390994e-06,,8,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,8,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.5779999854621565e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,9,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,9,top_k,naive_top_k,bfs,False,False,6,0,6.355000010671574e-06,,9,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,9,top_k_expansion,top_k_expansion,bfs,True,True,8,4,5.625999989433694e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,16,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,10,top_k,naive_top_k,bfs,False,False,6,0,6.640000009383584e-06,,10,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,10,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.5159999849129235e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,16,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,15,top_k,naive_top_k,bfs,False,False,6,0,5.228000020451873e-06,,15,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,15,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.847999995647115e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,24,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,20,top_k,naive_top_k,bfs,False,False,6,0,5.251999994015932e-06,,20,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,20,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.990999992240177e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,30,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,30,top_k,naive_top_k,bfs,False,False,6,0,6.191000011313008e-06,,30,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,30,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.1890000040421e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,52,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,40,top_k,naive_top_k,bfs,False,False,6,0,6.689000002779721e-06,,40,3,2,1,0.6666666666666666,차선이 줄어든다->차량 속도가 느려진다
도로 공사가 시작되면 왜 출근 시간이 길어지는가,40,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.74700001468409e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,59,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,60,top_k,naive_top_k,bfs,True,True,8,4,7.468999996262937e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,60,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,60,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.871000008208284e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,82,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,70,top_k,naive_top_k,bfs,True,True,8,4,8.045000015499681e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,70,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,70,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.337999988976662e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,86,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,75,top_k,naive_top_k,bfs,True,True,8,4,6.974000001491731e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,75,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,75,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.954000014047779e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,78,top_k,naive_top_k,bfs,True,True,8,4,8.337999986451905e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,78,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,78,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.1190000053557014e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,80,top_k,naive_top_k,bfs,True,True,8,4,6.294000002071698e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,80,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,80,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.793000008859963e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,82,top_k,naive_top_k,bfs,True,True,8,4,5.7759999947393226e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,82,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,82,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.447000001548076e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,84,top_k,naive_top_k,bfs,True,True,8,4,6.8169999849487795e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,84,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,84,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.686000003559457e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,85,top_k,naive_top_k,bfs,True,True,8,4,7.229000004826958e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,85,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,85,top_k_expansion,top_k_expansion,bfs,True,True,8,4,8.108999992373356e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,86,top_k,naive_top_k,bfs,True,True,8,4,6.7010000179834606e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,86,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,86,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.977999987611838e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,89,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,87,top_k,naive_top_k,bfs,True,True,8,4,7.775999989689808e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,87,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,87,top_k_expansion,top_k_expansion,bfs,True,True,8,4,6.965000011405209e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,88,top_k,naive_top_k,bfs,True,True,8,4,7.748000001583932e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,88,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,88,top_k_expansion,top_k_expansion,bfs,True,True,8,4,1.1389000007966388e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,89,top_k,naive_top_k,bfs,True,True,8,4,8.563999983834947e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,89,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,89,top_k_expansion,top_k_expansion,bfs,True,True,8,4,1.0363000001234468e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,90,top_k,naive_top_k,bfs,True,True,8,4,6.650000017316415e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,90,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.6009999929738115e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,95,top_k,naive_top_k,bfs,True,True,8,4,3.402100000471364e-05,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,95,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.445999983701768e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,100,top_k,naive_top_k,bfs,True,True,8,4,7.054000008110961e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
도로 공사가 시작되면 왜 출근 시간이 길어지는가,100,top_k_expansion,top_k_expansion,bfs,True,True,8,4,7.834999991018776e-06,도로 공사가 시작된다>차선이 줄어든다>차량 속도가 느려진다>출근 시간이 길어진다,90,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,FULL,full,full,bfs,True,True,8,4,7.697000000916887e-06,수면 시간이 부족하다>피로가 쌓인다>집중력이 떨어진다>실수가 늘어난다,90,3,3,0,1.0,
수면 시간이 부족하면 왜 실수가 늘어나는가,2,top_k,naive_top_k,bfs,False,False,3,0,3.2350000083170016e-06,,2,3,0,3,0.0,수면 시간이 부족하다->피로가 쌓인다|집중력이 떨어진다->실수가 늘어난다|피로가 쌓인다->집중력이 떨어진다
수면 시간이 부족하면 왜 실수가 늘어나는가,2,top_k_expansion,top_k_expansion,bfs,False,False,6,0,5.576000006612958e-06,,7,3,1,2,0.3333333333333333,집중력이 떨어진다->실수가 늘어난다|피로가 쌓인다->집중력이 떨어진다
