sentence,source,target,domain,type,is_answer_path
숙제를 제출하지 않는다 이면 친구에게 질문한다,숙제를 제출하지 않는다,친구에게 질문한다,school,distractor,0
숙제를 제출하지 않는다 이면 다음 수업이 부담된다,숙제를 제출하지 않는다,다음 수업이 부담된다,school,distractor,0
친구에게 질문한다 이면 숙제를 제출하지 않는다,친구에게 질문한다,숙제를 제출하지 않는다,school,cycle,0
선생님이 확인한다 이면 숙제를 제출하지 않는다,선생님이 확인한다,숙제를 제출하지 않는다,school,cycle,0
서버 메모리가 부족하다 이면 프로세스가 느려진다,서버 메모리가 부족하다,프로세스가 느려진다,computer,answer,1
프로세스가 느려진다 이면 응답 시간이 증가한다,프로세스가 느려진다,응답 시간이 증가한다,computer,answer,1
응답 시간이 증가한다 이면 사용자 요청이 실패한다,응답 시간이 증가한다,사용자 요청이 실패한다,computer,answer,1
서버 메모리가 부족하다 이면 로그가 많이 쌓인다,서버 메모리가 부족하다,로그가 많이 쌓인다,computer,distractor,0
서버 메모리가 부족하다 이면 캐시를 비운다,서버 메모리가 부족하다,캐시를 비운다,computer,distractor,0
서버 메모리가 부족하다 이면 모니터링 경고가 뜬다,서버 메모리가 부족하다,모니터링 경고가 뜬다,computer,distractor,0
서버 메모리가 부족하다 이면 임시 파일을 삭제한다,서버 메모리가 부족하다,임시 파일을 삭제한다,computer,distractor,0
캐시를 비운다 이면 서버 메모리가 부족하다,캐시를 비운다,서버 메모리가 부족하다,computer,cycle,0
모니터링 경고가 뜬다 이면 서버 메모리가 부족하다,모니터링 경고가 뜬다,서버 메모리가 부족하다,computer,cycle,0
매출이 감소한다 이면 현금 유입이 줄어든다,매출이 감소한다,현금 유입이 줄어든다,finance,answer,1
현금 유입이 줄어든다 이면 운영 자금이 부족하다,현금 유입이 줄어든다,운영 자금이 부족하다,finance,answer,1
운영 자금이 부족하다 이면 투자 계획이 연기된다,운영 자금이 부족하다,투자 계획이 연기된다,finance,answer,1
매출이 감소한다 이면 광고 예산을 검토한다,매출이 감소한다,광고 예산을 검토한다,finance,distractor,0
매출이 감소한다 이면 재고가 남는다,매출이 감소한다,재고가 남는다,finance,distractor,0
매출이 감소한다 이면 가격 정책을 바꾼다,매출이 감소한다,가격 정책을 바꾼다,finance,distractor,0
매출이 감소한다 이면 고객 분석을 시작한다,매출이 감소한다,고객 분석을 시작한다,finance,distractor,0
재고가 남는다 이면 매출이 감소한다,재고가 남는다,매출이 감소한다,finance,cycle,0
고객 분석을 시작한다 이면 매출이 감소한다,고객 분석을 시작한다,매출이 감소한다,finance,cycle,0
불을 세게 한다 이면 팬 온도가 올라간다,불을 세게 한다,팬 온도가 올라간다,cooking,answer,1
팬 온도가 올라간다 이면 재료 겉면이 빨리 익는다,팬 온도가 올라간다,재료 겉면이 빨리 익는다,cooking,answer,1
재료 겉면이 빨리 익는다 이면 음식이 탈 수 있다,재료 겉면이 빨리 익는다,음식이 탈 수 있다,cooking,answer,1
불을 세게 한다 이면 기름이 튄다,불을 세게 한다,기름이 튄다,cooking,distractor,0
불을 세게 한다 이면 조리 시간이 줄어든다,불을 세게 한다,조리 시간이 줄어든다,cooking,distractor,0
불을 세게 한다 이면 냄비가 흔들린다,불을 세게 한다,냄비가 흔들린다,cooking,distractor,0
불을 세게 한다 이면 환풍기를 켠다,불을 세게 한다,환풍기를 켠다,cooking,distractor,0
기름이 튄다 이면 불을 세게 한다,기름이 튄다,불을 세게 한다,cooking,cycle,0
환풍기를 켠다 이면 불을 세게 한다,환풍기를 켠다,불을 세게 한다,cooking,cycle,0
훈련 강도가 높다 이면 근육 피로가 증가한다,훈련 강도가 높다,근육 피로가 증가한다,sports,answer,1
근육 피로가 증가한다 이면 회복 시간이 필요하다,근육 피로가 증가한다,회복 시간이 필요하다,sports,answer,1
회복 시간이 필요하다 이면 다음 경기력이 떨어진다,회복 시간이 필요하다,다음 경기력이 떨어진다,sports,answer,1
훈련 강도가 높다 이면 땀이 많이 난다,훈련 강도가 높다,땀이 많이 난다,sports,distractor,0
훈련 강도가 높다 이면 물을 자주 마신다,훈련 강도가 높다,물을 자주 마신다,sports,distractor,0
훈련 강도가 높다 이면 운동복을 갈아입는다,훈련 강도가 높다,운동복을 갈아입는다,sports,distractor,0
훈련 강도가 높다 이면 코치가 관찰한다,훈련 강도가 높다,코치가 관찰한다,sports,distractor,0
물을 자주 마신다 이면 훈련 강도가 높다,물을 자주 마신다,훈련 강도가 높다,sports,cycle,0
땀이 많이 난다 이면 훈련 강도가 높다,땀이 많이 난다,훈련 강도가 높다,sports,cycle,0
복습을 하지 않는다 이면 기억이 약해진다,복습을 하지 않는다,기억이 약해진다,study,answer,1
기억이 약해진다 이면 문제 풀이 속도가 느려진다,기억이 약해진다,문제 풀이 속도가 느려진다,study,answer,1
문제 풀이 속도가 느려진다 이면 시험 시간이 부족하다,문제 풀이 속도가 느려진다,시험 시간이 부족하다,study,answer,1
복습을 하지 않는다 이면 노트를 잃어버린다,복습을 하지 않는다,노트를 잃어버린다,study,distractor,0
복습을 하지 않는다 이면 강의 내용을 다시 찾는다,복습을 하지 않는다,강의 내용을 다시 찾는다,study,distractor,0
복습을 하지 않는다 이면 친구 설명을 듣는다,복습을 하지 않는다,친구 설명을 듣는다,study,distractor,0
복습을 하지 않는다 이면 책상이 어지럽다,복습을 하지 않는다,책상이 어지럽다,study,distractor,0
친구 설명을 듣는다 이면 복습을 하지 않는다,친구 설명을 듣는다,복습을 하지 않는다,study,cycle,0
강의 내용을 다시 찾는다 이면 복습을 하지 않는다,강의 내용을 다시 찾는다,복습을 하지 않는다,study,cycle,0
비밀번호가 유출된다 이면 계정 접근이 가능하다,비밀번호가 유출된다,계정 접근이 가능하다,security,answer,1
계정 접근이 가능하다 이면 개인정보가 노출된다,계정 접근이 가능하다,개인정보가 노출된다,security,answer,1
개인정보가 노출된다 이면 피해 신고가 필요하다,개인정보가 노출된다,피해 신고가 필요하다,security,answer,1
비밀번호가 유출된다 이면 비밀번호를 변경한다,비밀번호가 유출된다,비밀번호를 변경한다,security,distractor,0
비밀번호가 유출된다 이면 로그인 알림이 온다,비밀번호가 유출된다,로그인 알림이 온다,security,distractor,0
비밀번호가 유출된다 이면 보안 점검을 실행한다,비밀번호가 유출된다,보안 점검을 실행한다,security,distractor,0
비밀번호가 유출된다 이면 이중 인증을 설정한다,비밀번호가 유출된다,이중 인증을 설정한다,security,distractor,0
로그인 알림이 온다 이면 비밀번호가 유출된다,로그인 알림이 온다,비밀번호가 유출된다,security,cycle,0
보안 점검을 실행한다 이면 비밀번호가 유출된다,보안 점검을 실행한다,비밀번호가 유출된다,security,cycle,0
